district,variable,n_years,MK_tau,MK_Z,p_value,sen_slope_per_year,sen_slope_per_decade,trend,zone
Bagerhat,temperature,30,0.4942528735632184,3.8179806347493375,0.00013454848403249287,0.03384517816024671,0.3384517816024671,increasing,3. Southwest Hot-Dry Zone (Drought or Saline)
Bagerhat,tmax,30,0.6505747126436782,5.031170742987445,4.874937469256935e-07,0.11368744021513519,1.136874402151352,increasing,3. Southwest Hot-Dry Zone (Drought or Saline)
Bagerhat,tmin,30,-0.12183908045977011,-0.9277336121820821,0.35354576844992414,-0.008480387986046065,-0.08480387986046065,no trend,3. Southwest Hot-Dry Zone (Drought or Saline)
Bagerhat,humidity,30,-0.29195402298850576,-2.247969906441199,0.024578108913372976,-0.17395884855666316,-1.7395884855666317,decreasing,3. Southwest Hot-Dry Zone (Drought or Saline)
Bagerhat,dew_point,30,0.0022988505747126436,0.0,1.0,6.622165712973545e-06,6.622165712973545e-05,no trend,3. Southwest Hot-Dry Zone (Drought or Saline)
Bagerhat,heat_index,30,0.5448275862068965,4.210483316826372,2.5482494200090855e-05,0.06189530829314955,0.6189530829314955,increasing,3. Southwest Hot-Dry Zone (Drought or Saline)
Bagerhat,wet_bulb,30,0.1632183908045977,1.2488721702451104,0.21171183194124255,0.008859351917379209,0.08859351917379209,no trend,3. Southwest Hot-Dry Zone (Drought or Saline)
Bagerhat,wbgt_shade,30,0.31494252873563217,2.4263802164762147,0.015250283689703048,0.01637605804109299,0.1637605804109299,increasing,3. Southwest Hot-Dry Zone (Drought or Saline)
Bandarban,temperature,43,0.05426356589147287,0.5023401845199473,0.615428246959838,0.003405088062622091,0.03405088062622091,no trend,6. Hill Tract Zone (Elevated Terrain)
Bandarban,tmax,43,0.5902547065337763,5.56760371176275,2.582663638506233e-08,0.054518848088215256,0.5451884808821525,increasing,6. Hill Tract Zone (Elevated Terrain)
Bandarban,tmin,43,-0.2115171650055371,-1.988429897058125,0.04676416500989555,-0.036148882195602354,-0.36148882195602355,decreasing,6. Hill Tract Zone (Elevated Terrain)
Bandarban,humidity,43,0.05647840531561462,0.5232710255416119,0.6007856611761988,0.01598775039770372,0.1598775039770372,no trend,6. Hill Tract Zone (Elevated Terrain)
Bandarban,dew_point,43,0.009966777408637873,0.0837233640866579,0.9332763805061923,0.0005310758811758376,0.005310758811758376,no trend,6. Hill Tract Zone (Elevated Terrain)
Bandarban,heat_index,43,0.10077519379844961,0.9418878459749013,0.3462500633527572,0.009044521477216646,0.09044521477216647,no trend,6. Hill Tract Zone (Elevated Terrain)
Bandarban,wet_bulb,43,0.07419712070874862,0.6907177537149276,0.4897429301593239,0.004118506972683751,0.04118506972683751,no trend,6. Hill Tract Zone (Elevated Terrain)
