district,zone,variable,skill_vs_naive,skill_vs_clim,seasonal_naive_R2,seasonal_naive_RMSE,climatology_R2,climatology_RMSE
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),temperature,0.04225239232543099,-0.03747510393909703,0.9571054806947399,0.8608932444214006,0.9634448484019665,0.7947356444287228
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),humidity,0.0793254695454767,-0.05302913255741304,0.7295781885744193,2.7262010251773563,0.7932844235076929,2.3835464482203736
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),solar_radiation,0.03095668094732673,-0.051200711342055616,0.757088940830889,16.901344859346292,0.7935749593073436,15.580407378192312
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),uv,0.009777709808237778,-0.13181224234678957,0.8261308318022718,0.40487917583229116,0.8669119081487872,0.3542287048532929
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),tmax,0.02248354134219499,-0.04559257310827736,0.9032897680569237,1.0636203586884476,0.9154729714325006,0.9943704968089973
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),tmin,0.1702416972844516,-0.040869137269123446,0.9572434151097652,0.9958336478895122,0.9728284783776547,0.7938569872748462
Bagerhat,3. Southwest Hot-Dry Zone (Drought or Saline),dew_point,0.15846506597772925,-0.2293722065854018,0.9572790039626058,0.9239366577854761,0.9799820828593703,0.6324569322336026
Bandarban,6. Hill Tract Zone (Elevated Terrain),temperature,-0.10700151677454173,0.12075886308023964,0.9544358003327906,0.6889013818727916,0.9277722344163466,0.8673557714928145
Bandarban,6. Hill Tract Zone (Elevated Terrain),humidity,0.2976171976285851,-0.05535930060871652,0.4800561915512196,5.185569051040711,0.7696949472473001,3.4511985821886935
Bandarban,6. Hill Tract Zone (Elevated Terrain),solar_radiation,0.20472249593053804,-0.021433946273990978,0.6305697021952612,25.85665645723799,0.7760508948490209,20.13171511080547
Bandarban,6. Hill Tract Zone (Elevated Terrain),uv,0.14169746000442407,-0.00370545649331544,0.5692698331948739,0.7691339166913873,0.6850268639885283,0.657712469352666
Bandarban,6. Hill Tract Zone (Elevated Terrain),tmax,0.14510294382745437,0.03733583812566588,0.8040580253259764,1.136261800006214,0.8454725936324169,1.0090610062550918
Bandarban,6. Hill Tract Zone (Elevated Terrain),tmin,-0.0030709127619084065,0.006489822102633713,0.9534478802123758,0.8582756043667435,0.9525476096513092,0.8665349515547326
Bandarban,6. Hill Tract Zone (Elevated Terrain),dew_point,0.2939151999725058,-0.05886390427666588,0.8905052029774283,1.4274759413632396,0.9513114411247312,0.9518872638217418
Barguna,4. Coastal Humid Heat Zone (Coastal Belt),temperature,0.009559361827151225,-0.020184647568201264,0.9626578980694134,0.7581005695325175,0.9648036121062791,0.7359977565598396
Barguna,4. Coastal Humid Heat Zone (Coastal Belt),humidity,0.24344899615183246,-0.06884474654146033,0.6231521214998531,2.8563063898886587,0.8111951072913033,2.0217543039440646
Barguna,4. Coastal Humid Heat Zone (Coastal Belt),solar_radiation,-0.03136826784984481,-0.09348876248878923,0.7511541641461393,17.64927132164039,0.7786246505012853,16.646625933660488
Barguna,4. Coastal Humid Heat Zone (Coastal Belt),uv,0.04697231535977153,0.024096852275184988,0.7905861812598298,0.46303790318800575,0.800288565019661,0.45218415557397673
Barguna,4. Coastal Humid Heat Zone (Coastal Belt),tmax,0.05549850616675678,-0.04771088987266836,0.8614203753158794,1.0822908868940597,0.8873783818172205,0.975675035274072
Barguna,4. Coastal Humid Heat Zone (Coastal Belt),tmin,0.20724774440912763,-0.03949515801046832,0.9580500688976211,0.9607349812142654,0.9756016035875936,0.7326872256339969
Barguna,4. Coastal Humid Heat Zone (Coastal Belt),dew_point,0.14710269335148962,-0.23685644466848532,0.9569700562201899,0.9029250873664464,0.9795390557540997,0.6226287443783531
Barisal,4. Coastal Humid Heat Zone (Coastal Belt),temperature,0.03402372613531823,-0.028594801531534264,0.9622710759159316,0.7915159137699452,0.966724952094583,0.7433302131700984
Barisal,4. Coastal Humid Heat Zone (Coastal Belt),humidity,0.17990813603344868,-0.001110333902773375,0.712577005958718,2.649075466060892,0.8071220298090774,2.170075728097445
Barisal,4. Coastal Humid Heat Zone (Coastal Belt),solar_radiation,0.09078413421656129,-0.02962805761420717,0.6976672549839077,18.763534794785585,0.7642463306628506,16.569190599884497
Barisal,4. Coastal Humid Heat Zone (Coastal Belt),uv,0.053768188296435815,-0.0720334976752437,0.764753272541167,0.4710142511179825,0.8167255317463229,0.4157413636234908
Barisal,4. Coastal Humid Heat Zone (Coastal Belt),tmax,0.05909767526070686,-0.03472235383201849,0.891613541210363,1.0192447101253712,0.9103776252731853,0.9268280652134038
Barisal,4. Coastal Humid Heat Zone (Coastal Belt),tmin,0.24965299572688116,-0.09632836634255493,0.9469702367113041,1.1155533764360008,0.9751593650761863,0.7635049496238007
Barisal,4. Coastal Humid Heat Zone (Coastal Belt),dew_point,0.2645570221347263,-0.2268770023925195,0.9539321116698297,0.9417427906699892,0.9834463310713008,0.5645212364424974
Bhola,4. Coastal Humid Heat Zone (Coastal Belt),temperature,0.03201790907074986,-0.013452922142091817,0.9622261423429891,0.7508948090985701,0.9655397181227858,0.7172042346504233
Bhola,4. Coastal Humid Heat Zone (Coastal Belt),humidity,0.22614634709073578,-0.07925625194664687,0.6814804498265028,2.577466853077276,0.8362412097233289,1.8481080243072787
Bhola,4. Coastal Humid Heat Zone (Coastal Belt),solar_radiation,0.12433416117278007,-0.01391612549273269,0.6185691159225803,21.33623991258292,0.715495847794062,18.426984195947327
Bhola,4. Coastal Humid Heat Zone (Coastal Belt),uv,0.12205482325901973,-0.014027725482464115,0.6557817763629921,0.5716926347993376,0.7419707177457644,0.4949714674336101
Bhola,4. Coastal Humid Heat Zone (Coastal Belt),tmax,0.04943335225645573,-0.017902531858461135,0.8544987401332254,1.1228863148633275,0.8731123047286777,1.0486055852203673
Bhola,4. Coastal Humid Heat Zone (Coastal Belt),tmin,0.22160680580950665,-0.1399999892013306,0.9385495260263002,1.2093461180715275,0.97135072720933,0.825742804074117
Bhola,4. Coastal Humid Heat Zone (Coastal Belt),dew_point,0.1943471866937203,-0.13526311180009554,0.953130045786193,0.9182945883469826,0.9763953626691588,0.6516785499817702
Bogra,1. Northwest Extreme Heat Zone (Dry Hot Plains),temperature,0.13039525599256174,0.134773715622314,0.9637524544174535,0.8860682460965987,0.9633846662718516,0.8905521760404628
Bogra,1. Northwest Extreme Heat Zone (Dry Hot Plains),humidity,-0.040905744738410243,0.04718440232471899,0.5756296587255805,4.091752971833206,0.49353420622368205,4.470045604651358
Bogra,1. Northwest Extreme Heat Zone (Dry Hot Plains),solar_radiation,0.0917378477466958,0.003706476847198381,0.6485445663259295,22.08499469428635,0.707909062461867,20.13358949685642
Bogra,1. Northwest Extreme Heat Zone (Dry Hot Plains),uv,0.11687961816474812,0.014524127920022778,0.5513762513541383,0.6882675495110799,0.6397283531179508,0.6167813118003052
Bogra,1. Northwest Extreme Heat Zone (Dry Hot Plains),tmax,0.09790322467589885,0.12435304440880524,0.9048176300601041,1.131720317105641,0.898980621876571,1.165905096924012
Bogra,1. Northwest Extreme Heat Zone (Dry Hot Plains),tmin,0.32690151733169726,0.008949523289869199,0.9537517361156972,1.167353939961662,0.9786665493298643,0.7928397031132043
Bogra,1. Northwest Extreme Heat Zone (Dry Hot Plains),dew_point,0.16779237363366228,-0.20104660910228933,0.9409933135143265,1.1782169325617584,0.9716701100528629,0.8163888972841191
Brahmanbaria,4. Coastal Humid Heat Zone (Coastal Belt),temperature,0.001809589655716537,-0.04714040647955242,0.951341962500653,0.8786288254689435,0.9557848055978327,0.8375561313537054
Brahmanbaria,4. Coastal Humid Heat Zone (Coastal Belt),humidity,0.09985295000845029,-0.011563658970921376,0.5295953260776933,4.241865840876838,0.6275121459830194,3.774654209117819
